ConvertedCompYearly,Country,LearnCode,DevType
36708.0,Austria,School,Developer_ desktop or enterprise applications
54049.0,Germany,Other,Mobile Developer
73500.0,United States of America,Online forum and resources,Developer_ desktop or enterprise applications
56211.0,Netherlands,"Colleague, friend or family",Developer_ desktop or enterprise applications
,Bangladesh,School,Fullstack Developer
,Luxembourg,School,Engineer_ data
60744.0,Poland,Online forum and resources,Front-End Developer
183767.0,France,Other,Back-End Developer
25128.0,India,Online forum and resources,Mobile Developer
49725.0,Malta,Online forum and resources,Back-End Developer
36324.0,Germany,Online forum and resources,Mobile Developer
82000.0,United States of America,Coding Bootcamp,Fullstack Developer
,Russian Federation,Online forum and resources,Front-End Developer
105000.0,United States of America,School,Academic researcher
,Portugal,School,Fullstack Developer
,India,Online forum and resources,Front-End Developer
59454.0,Finland,Online forum and resources,Front-End Developer
1512650.0,Canada,Online forum and resources,Back-End Developer
28437.0,United Kingdom of Great Britain and Northern Ireland,Online forum and resources,Fullstack Developer
41004.0,Poland,Online forum and resources,Front-End Developer
135000.0,United States of America,Online forum and resources,Mobile Developer
31332.0,India,School,Back-End Developer
50806.0,Netherlands,School,Front-End Developer
,India,Online forum and resources,Fullstack Developer
,France,Online forum and resources,Engineer_ data
41077.0,France,Coding Bootcamp,Front-End Developer
24912.0,Poland,School,Front-End Developer
45401.0,France,Coding Bootcamp,Front-End Developer
37620.0,France,Online forum and resources,Mobile Developer
,Italy,Other,Engineer_ data
200000.0,United States of America,School,Fullstack Developer
40489.0,India,Coding Bootcamp,Mobile Developer
58000.0,United States of America,School,Fullstack Developer
,Netherlands,School,Fullstack Developer
12828.0,"Iran, Islamic Republic of...",Online forum and resources,Front-End Developer
48472.0,United Kingdom of Great Britain and Northern Ireland,Online forum and resources,Developer_ desktop or enterprise applications
27528.0,Serbia,Coding Bootcamp,Fullstack Developer
19389.0,United Kingdom of Great Britain and Northern Ireland,Online forum and resources,Back-End Developer
43239.0,Germany,"Colleague, friend or family",Engineer_ data
16215.0,Spain,Online forum and resources,Front-End Developer
35676.0,Netherlands,Online forum and resources,Developer_ desktop or enterprise applications
180000.0,United States of America,Online forum and resources,Mobile Developer
51888.0,Germany,School,Academic researcher
45396.0,Spain,Other,Mobile Developer
33095.0,Italy,Online forum and resources,Fullstack Developer
8364.0,Malaysia,Online forum and resources,Fullstack Developer
70000.0,United States of America,Online forum and resources,Developer_ desktop or enterprise applications
57072.0,Netherlands,Online forum and resources,Back-End Developer
130000.0,United States of America,Online forum and resources,Front-End Developer
,"Iran, Islamic Republic of...",Online forum and resources,Front-End Developer
22512.0,Ukraine,Online forum and resources,Mobile Developer
2568.0,"Iran, Islamic Republic of...",Online forum and resources,Developer_ game or graphics
22536.0,Brazil,Online forum and resources,Fullstack Developer
96000.0,United States of America,Online Courses or Certification,Data Scientist
32424.0,Belgium,School,Front-End Developer
56208.0,Germany,Other,Developer_ desktop or enterprise applications
175000.0,United States of America,School,Mobile Developer
,South Africa,Online forum and resources,Front-End Developer
42156.0,Austria,Online forum and resources,Fullstack Developer
91056.0,Israel,Coding Bootcamp,Back-End Developer
,United Kingdom of Great Britain and Northern Ireland,Other,Engineering manager
68068.0,Canada,School,Back-End Developer
,Netherlands,Online forum and resources,Fullstack Developer
9864.0,Turkey,School,Fullstack Developer
55702.0,United States of America,Other,Engineer_ data
11832.0,Turkey,Online forum and resources,Senior Executive (C-Suite_ VP_ etc.)
6852.0,Ukraine,Other,Mobile Developer
39131.0,France,Online forum and resources,Fullstack Developer
46644.0,Georgia,"Colleague, friend or family",Back-End Developer
72000.0,United States of America,School,Developer_ desktop or enterprise applications
110000.0,United States of America,Online forum and resources,Front-End Developer
45401.0,Italy,Other,Developer_ desktop or enterprise applications
155000.0,United States of America,School,Fullstack Developer
54564.0,Czech Republic,Online forum and resources,Back-End Developer
24300.0,Poland,Online forum and resources,Fullstack Developer
,France,Online forum and resources,Front-End Developer
,Japan,Online forum and resources,Fullstack Developer
75885.0,Germany,Online forum and resources,Mobile Developer
259692.0,India,Coding Bootcamp,Mobile Developer
125000.0,United States of America,Online forum and resources,Engineer_ data
70000.0,United States of America,Other,Front-End Developer
30000.0,Belarus,School,Fullstack Developer
105000.0,United States of America,Online forum and resources,Mobile Developer
68724.0,Sweden,School,Developer_ desktop or enterprise applications
10992.0,Brazil,Online forum and resources,Mobile Developer
40500.0,Sweden,Online forum and resources,Mobile Developer
19152.0,Croatia,School,Developer_ game or graphics
12828.0,"Iran, Islamic Republic of...","Colleague, friend or family",Back-End Developer
77832.0,Germany,Online forum and resources,Developer_ desktop or enterprise applications
