YearsCode,YearsCodePro,DevType
15,6,Mobile Developer
10,5,Data Scientist
9,2,Developer_ desktop or enterprise applications
25,24,Developer_ desktop or enterprise applications
11,2,Developer_ desktop or enterprise applications
18,15,Front-End Developer
15,7,Fullstack Developer
15,13,Back-End Developer
30,9,Product Manager
15,6,Developer_ desktop or enterprise applications
24,15,Fullstack Developer
8,3,Mobile Developer
12,11,Engineer_ data
5,2,Mobile Developer
15,10,Fullstack Developer
3,1,Fullstack Developer
6,4,Developer_ desktop or enterprise applications
10,2,Fullstack Developer
3,0,Back-End Developer
29,21,Fullstack Developer
15,5,Fullstack Developer
17,5,Front-End Developer
12,3,Fullstack Developer
26,23,Developer_ desktop or enterprise applications
11,5,Mobile Developer
36,28,Front-End Developer
2,2,Fullstack Developer
8,3,Fullstack Developer
5,2,Mobile Developer
14,10,Fullstack Developer
23,10,Developer_ desktop or enterprise applications
10,8,Mobile Developer
9,3,Mobile Developer
30,15,Developer_ desktop or enterprise applications
10,5,Fullstack Developer
4,0,Fullstack Developer
8,5,Fullstack Developer
6,0,Developer_ embedded applications or devices
18,12,Mobile Developer
7,3,Mobile Developer
27,19,Fullstack Developer
30,12,Mobile Developer
5,5,Developer_ desktop or enterprise applications
6,2,Fullstack Developer
6,0,DevOps specialist
30,12,Engineer_ data
19,7,Developer_ desktop or enterprise applications
15,7,Fullstack Developer
14,6,Mobile Developer
12,7,Data Scientist
15,10,Developer_ desktop or enterprise applications
9,5,Mobile Developer
35,19,Academic researcher
25,22,Back-End Developer
22,12,Developer_ desktop or enterprise applications
17,10,Mobile Developer
5,2,Fullstack Developer
12,11,Fullstack Developer
10,1,Front-End Developer
9,5,Engineer_ data
30,25,Developer_ desktop or enterprise applications
6,2,Developer_ desktop or enterprise applications
8,5,Data Scientist
20,24,Back-End Developer
35,22,Back-End Developer
9,7,Fullstack Developer
12,7,Front-End Developer
11,2,Front-End Developer
9,1,Fullstack Developer
5,4,Mobile Developer
31,18,Engineering manager
10,6,Front-End Developer
5,1,Fullstack Developer
10,10,Mobile Developer
19,15,Fullstack Developer
20,9,Front-End Developer
13,6,Front-End Developer
10,3,Engineer_ data
7,3,Back-End Developer
8,4,Front-End Developer
42,37,Fullstack Developer
6,2,Mobile Developer
10,6,Back-End Developer
2,1,Front-End Developer
10,8,Front-End Developer
5,4,Mobile Developer
4,4,DevOps specialist
30,30,Mobile Developer
40,27,Developer_ desktop or enterprise applications
30,23,Mobile Developer
10,4,Fullstack Developer
6,2,Engineer_ data
7,1,Data Scientist
10,4,Back-End Developer
35,25,Front-End Developer
15,10,Fullstack Developer
18,16,Back-End Developer
10,4,Mobile Developer
28,19,Fullstack Developer
30,20,Back-End Developer
10,9,Fullstack Developer
20,10,Front-End Developer
20,10,Developer_ embedded applications or devices
40,35,Developer_ desktop or enterprise applications
5,4,Developer_ desktop or enterprise applications
7,3,Fullstack Developer
46,30,Developer_ desktop or enterprise applications
10,6,Mobile Developer
21,12,Front-End Developer
15,9,Mobile Developer
20,15,Fullstack Developer
10,5,Back-End Developer
11,6,Fullstack Developer
9,0,Academic researcher
12,3,Developer_ embedded applications or devices
12,10,Front-End Developer
15,10,Fullstack Developer
32,15,Fullstack Developer
10,7,Fullstack Developer
6,2,Fullstack Developer
23,15,Back-End Developer
28,22,Front-End Developer
6,2,Mobile Developer
5,1,Fullstack Developer
5,3,Mobile Developer
13,13,Fullstack Developer
23,20,Back-End Developer
6,5,Engineer_ data
12,9,Developer_ desktop or enterprise applications
23,5,Front-End Developer
10,5,Fullstack Developer
20,16,Front-End Developer
8,4,Fullstack Developer
16,12,Fullstack Developer
25,20,DevOps specialist
13,8,Mobile Developer
15,13,Back-End Developer
32,23,Mobile Developer
7,4,Front-End Developer
11,3,DevOps specialist
3,1,Developer_ desktop or enterprise applications
6,5,Back-End Developer
18,7,Fullstack Developer
18,11,Back-End Developer
8,3,Front-End Developer
15,7,DevOps specialist
20,10,Back-End Developer
17,8,Developer_ embedded applications or devices
15,13,Mobile Developer
15,10,Back-End Developer
10,8,Engineer_ data
6,4,Back-End Developer
10,7,Engineer_ data
23,14,Fullstack Developer
5,1,Front-End Developer
21,15,Front-End Developer
2,2,Mobile Developer
20,5,Fullstack Developer
2,1,Front-End Developer
8,4,Front-End Developer
4,0,Front-End Developer
25,7,Fullstack Developer
10,5,Fullstack Developer
36,29,Data Scientist
38,32,Data Scientist
43,43,Fullstack Developer
13,3,Front-End Developer
20,10,Fullstack Developer
8,5,Fullstack Developer
1,1,Front-End Developer
38,30,Fullstack Developer
10,9,Fullstack Developer
15,3,Data Scientist
20,15,Front-End Developer
14,8,Developer_ desktop or enterprise applications
6,5,Fullstack Developer
4,3,Data Scientist
10,5,Engineer_ data
7,4,Engineer_ data
15,12,Developer_ desktop or enterprise applications
5,4,Front-End Developer
9,6,Front-End Developer
13,9,Mobile Developer
31,29,Developer_ desktop or enterprise applications
11,10,Front-End Developer
11,5,Fullstack Developer
40,38,Developer_ embedded applications or devices
10,9,Developer_ desktop or enterprise applications
10,6,Developer_ QA or test
11,5,Mobile Developer
25,15,Mobile Developer
22,15,Back-End Developer
5,2,Data Scientist
35,30,Data Scientist
7,4,Front-End Developer
8,4,Mobile Developer
17,13,Front-End Developer
7,5,Engineering manager
5,4,Engineer_ data
18,13,Front-End Developer
17,13,Back-End Developer
25,20,Front-End Developer
33,23,Back-End Developer
12,5,Mobile Developer
8,7,Data Scientist
14,11,Developer_ desktop or enterprise applications
20,16,Fullstack Developer
32,21,Front-End Developer
15,12,Front-End Developer
19,19,Developer_ desktop or enterprise applications
10,6,Front-End Developer
3,1,Fullstack Developer
12,4,Fullstack Developer
2,0,Back-End Developer
6,1,Back-End Developer
16,11,Front-End Developer
9,2,Mobile Developer
10,6,Mobile Developer
11,8,Engineer_ data
40,38,Academic researcher
10,7,Fullstack Developer
23,11,Front-End Developer
13,3,Data Scientist
16,11,Engineer_ data
19,16,Developer_ game or graphics
7,3,Academic researcher
20,8,Engineering manager
5,0,Front-End Developer
7,3,Front-End Developer
6,2,Fullstack Developer
10,8,Fullstack Developer
25,10,Front-End Developer
28,25,Front-End Developer
5,3,Mobile Developer
7,6,Mobile Developer
7,1,Mobile Developer
42,38,Front-End Developer
12,3,Developer_ desktop or enterprise applications
7,5,Developer_ desktop or enterprise applications
25,6,Mobile Developer
19,6,Developer_ desktop or enterprise applications
42,25,Academic researcher
5,3,Developer_ desktop or enterprise applications
31,26,Fullstack Developer
38,24,Developer_ desktop or enterprise applications
35,23,Mobile Developer
10,0,Back-End Developer
25,16,Fullstack Developer
12,7,Front-End Developer
10,4,Back-End Developer
26,19,Developer_ QA or test
10,8,Fullstack Developer
9,7,Fullstack Developer
16,7,Fullstack Developer
13,8,Fullstack Developer
10,6,Fullstack Developer
12,5,Back-End Developer
41,32,Back-End Developer
37,19,Developer_ desktop or enterprise applications
17,14,Front-End Developer
35,15,Academic researcher
40,15,Fullstack Developer
